AnimalID,Virus,Session,Stim,Resp
5243,eYFP,Scop1,Laser,0.166666666666667
5243,eYFP,Mec1,Laser,0.107142857142857
5243,eYFP,Saline,Catch,0.0701754385964912
5243,eYFP,Scop0.3,Catch,0.08
5243,eYFP,Scop1,Catch,0.215686274509804
5243,eYFP,Mec1,Catch,0.179487179487179
5247,ChR2,Saline,Tone,0.6
5247,ChR2,Scop0.3,Tone,0.148936170212766
5247,ChR2,Scop1,Tone,0.396039603960396
5247,ChR2,Mec1,Tone,0.552380952380952
5247,ChR2,Saline,Laser,0.972222222222222
5247,ChR2,Scop0.3,Laser,0.747747747747748
5247,ChR2,Scop1,Laser,0.329896907216495
5247,ChR2,Mec1,Laser,1
5247,ChR2,Saline,Catch,0.511627906976744
5247,ChR2,Scop0.3,Catch,0.0909090909090909
5247,ChR2,Scop1,Catch,0.386363636363636
5247,ChR2,Mec1,Catch,0.642857142857143
5445,ChR2,Saline,Tone,0.99
5445,ChR2,Scop0.3,Tone,0.99
5445,ChR2,Scop1,Tone,0.0396039603960396
5445,ChR2,Mec1,Tone,0.99009900990099
5445,ChR2,Saline,Laser,1
5445,ChR2,Scop0.3,Laser,0.0421052631578947
5445,ChR2,Scop1,Laser,0
5445,ChR2,Mec1,Laser,0.989583333333333
5445,ChR2,Saline,Catch,0.434782608695652
5445,ChR2,Scop0.3,Catch,0.0444444444444444
5445,ChR2,Scop1,Catch,0
5445,ChR2,Mec1,Catch,0.531914893617021
5447,ChR2,Saline,Tone,0.980582524271845
5447,ChR2,Scop0.3,Tone,0.786407766990291
5447,ChR2,Scop1,Tone,0.411111111111111
5447,ChR2,Mec1,Tone,0.747474747474748
5447,ChR2,Saline,Laser,0.511363636363636
5447,ChR2,Scop0.3,Laser,0.197802197802198
5447,ChR2,Scop1,Laser,0.116071428571429
5447,ChR2,Mec1,Laser,0.53921568627451
5447,ChR2,Saline,Catch,0.306122448979592
5447,ChR2,Scop0.3,Catch,0.0980392156862745
5447,ChR2,Scop1,Catch,0.119047619047619
5447,ChR2,Mec1,Catch,0.195121951219512
5494,ChR2,Saline,Tone,0.981651376146789
5494,ChR2,Scop0.3,Tone,0.97979797979798
5494,ChR2,Scop1,Tone,0.685185185185185
5494,ChR2,Mec1,Tone,0.988235294117647
5494,ChR2,Saline,Laser,1
5494,ChR2,Scop0.3,Laser,0.852272727272727
5494,ChR2,Scop1,Laser,0.372340425531915
5494,ChR2,Mec1,Laser,0.893203883495146
5494,ChR2,Saline,Catch,0.66
5494,ChR2,Scop0.3,Catch,0.490566037735849
5494,ChR2,Scop1,Catch,0.387755102040816
5494,ChR2,Mec1,Catch,0.764705882352941
5496,ChR2,Saline,Tone,0.981132075471698
5496,ChR2,Scop0.3,Tone,0.90625
5496,ChR2,Scop1,Tone,0.295238095238095
5496,ChR2,Mec1,Tone,0.981308411214953
5496,ChR2,Saline,Laser,0.961538461538462
5496,ChR2,Scop0.3,Laser,0.93859649122807
5496,ChR2,Scop1,Laser,0.266666666666667
5496,ChR2,Mec1,Laser,0.99
5496,ChR2,Saline,Catch,0.69047619047619
5496,ChR2,Scop0.3,Catch,0.48780487804878
5496,ChR2,Scop1,Catch,0.108695652173913
5496,ChR2,Mec1,Catch,0.680851063829787
5498,eYFP,Saline,Tone,0.825
5498,eYFP,Scop0.3,Tone,0.134020618556701
5498,eYFP,Scop1,Tone,0.487179487179487
5498,eYFP,Mec1,Tone,0.784313725490196
5498,eYFP,Saline,Laser,0.106796116504854
5498,eYFP,Scop0.3,Laser,0.0106382978723404
5498,eYFP,Scop1,Laser,0.0843373493975904
5498,eYFP,Mec1,Laser,0.18
5498,eYFP,Saline,Catch,0.0465116279069767
5498,eYFP,Scop0.3,Catch,0.0612244897959184
5498,eYFP,Scop1,Catch,0.0384615384615385
5498,eYFP,Mec1,Catch,0.06
5499,eYFP,Saline,Tone,0.939393939393939
5499,eYFP,Scop0.3,Tone,0.760869565217391
5499,eYFP,Scop1,Tone,0.587628865979381
5499,eYFP,Mec1,Tone,0.989690721649485
5499,eYFP,Saline,Laser,0.216494845360825
5499,eYFP,Scop0.3,Laser,0.0707070707070707
5499,eYFP,Scop1,Laser,0.214953271028037
5499,eYFP,Mec1,Laser,0.12
5499,eYFP,Saline,Catch,0.239130434782609
5499,eYFP,Scop0.3,Catch,0.0408163265306122
5499,eYFP,Scop1,Catch,0.153846153846154
